id;account_type;account_broker;account_login;account_password;account_investor_login;account_investor_password;account_real;account_info_double;account_info_integer;account_info_string;account_balance;account_credit;account_company;account_currency;account_equity;account_free_margin;account_free_margin_check;account_free_margin_mode;account_leverage;account_margin;account_name;account_number;account_profit;account_server;account_stopout_level;account_stopout_mode;in_active;in_active_date
1;REAL;THINKMARKETS;JSON black Paradigm;whiteboard Squares Planner;Enterprise-wide Coordinator Won;primary impactful Associate;true;32576;73594;black;1800;96676;Phased Sleek;brand Optional;63100;38317;47440;89654;28183;68551;Investment Account;33342;52607;productize;44267;54778;true;2021-07-18T23:36:20
2;DEMO;THINKMARKETS;administration magenta User-centric;synthesizing Architect;Handcrafted Investor Division;driver Carolina Innovative;true;15381;37015;Islands;45877;97849;Mexico Baby;Malaysian;3971;43725;48549;17387;77402;45066;Home Loan Account;49009;84561;ivory Representative Architect;77472;61136;true;2021-07-18T01:15:27
3;REAL;THINKMARKETS;mobile monitor;firewall Electronics;Representative platforms;bypass;false;4673;33709;Analyst calculate;88122;39775;circuit;Overpass Cape;28560;52999;72181;1815;30490;16318;Savings Account;17364;66645;Frozen Grocery Ball;58334;2361;true;2021-07-18T02:55:06
4;REAL;FXPRO;Future Generic Hollow;Harbor out-of-the-box Coordinator;maroon Factors Upgradable;neural EXE Tuna;true;36534;76868;Buckinghamshire middleware transmitting;3752;13992;generating orchestration;matrix;22309;50752;81981;62143;52395;48884;Credit Card Account;33145;96622;Guyana;24699;90292;true;2021-07-18T13:03:45
5;DEMO;THINKMARKETS;dot-com Generic violet;optical application;magenta Western modular;Shoals Auto lavender;false;23422;80152;Lev installation bandwidth;81226;56235;navigate;Soft Arizona Human;71168;35060;76311;98831;18521;3479;Auto Loan Account;77485;12896;reboot;40259;57493;true;2021-07-18T15:27:24
6;REAL;THINKMARKETS;web-readiness Representative virtual;Future Account monitor;maroon;program;false;83351;47110;Identity e-business;4462;14004;transmitter;Minnesota mindshare;91928;10859;67454;53068;89361;95299;Checking Account;12967;16435;Developer project New;5554;22187;true;2021-07-18T14:25:41
7;DEMO;THINKMARKETS;overriding;Industrial Chips;Senior Garden New;Steel;true;37025;69510;User-friendly Cambridgeshire;79310;52235;state quantifying monitor;Bedfordshire;70534;56600;97978;62703;36591;81115;Credit Card Account;27204;94022;Borders;85281;79694;false;2021-07-18T12:11:31
8;REAL;ALPARI;Solutions Shoes transmitting;hierarchy;PCI Rupee systems;Frozen deposit;true;89147;86303;Indian;8655;94241;solution Money;productize;69599;76339;31289;7524;13522;96841;Money Market Account;43773;99649;deposit;7428;28497;false;2021-07-18T22:15:44
9;REAL;ALPARI;applications Data Switchable;Tennessee;Cuban Diverse Hawaii;Consultant Directives;false;71436;6881;Granite Tonga withdrawal;4010;14630;utilize IB Home;Philippines proactive wireless;3011;5697;90692;94260;57360;37944;Personal Loan Account;63942;27671;Grocery;61699;4851;false;2021-07-18T06:51:29
10;REAL;FXPRO;program Practical web-enabled;Sports withdrawal;Executive;Computers;false;20418;99506;Senior;7513;18892;distributed;Kids Mauritius Brand;11459;57372;26915;15303;65004;13209;Checking Account;39781;69574;Toys Salad copying;66406;95803;false;2021-07-18T09:07:03
